DP Identifier,MSCIWorldTRI,TOP40,LEBUAGCH,LEBUCGCH,LEBUPFCH,LEBUWPCH
Date,MSCIWorldTRI Index,TOP40 Index,LEBUAGCH,LEBUCGCH,LEBUPFCH,LEBUWPCH
29/03/2021,12199.99,61443.9,3.51541,3.107853,3.242212,3.458797
30/03/2021,12181.27,61589.91,3.513241,3.102395,3.238451,3.455577
31/03/2021,12211.12,60881.15,3.492022,3.089655,3.221463,3.43118
01/04/2021,12335.87,61590.24,3.500663,3.092696,3.227244,3.435451
06/04/2021,12494.68,62372.24,3.516358,3.103568,3.240665,3.444445
07/04/2021,12516.28,61409.52,3.515133,3.109295,3.242668,3.449546
08/04/2021,12581.62,61303.19,3.513548,3.109255,3.24184,3.445163
09/04/2021,12645.52,61458.47,3.519072,3.117203,3.248417,3.455588
12/04/2021,12633.3,60672.56,3.510404,3.113224,3.241922,3.450659
13/04/2021,12681.25,61382.99,3.521096,3.116314,3.248852,3.459684
14/04/2021,12662.16,62084.39,3.530389,3.123961,3.257491,3.457707
15/04/2021,12785.49,62080.02,3.528021,3.121187,3.25526,3.444999
16/04/2021,12836.46,62898.13,3.55873,3.142696,3.281269,3.476361
19/04/2021,12798.84,62325.85,3.556777,3.141255,3.27954,3.473924
20/04/2021,12677.26,61116.77,3.527636,3.124773,3.256631,3.453714
21/04/2021,12752.39,61399.26,3.513401,3.116033,3.244974,3.43866
22/04/2021,12714.31,61182.94,3.521768,3.122944,3.252627,3.448038
23/04/2021,12811.24,61478.76,3.518565,3.117972,3.248363,3.446382
26/04/2021,12855.14,61716.82,3.531363,3.125376,3.258583,3.460382
28/04/2021,12838.4,61838.56,3.549208,3.134281,3.272021,3.476284
29/04/2021,12889.72,61508.38,3.553359,3.138943,3.276535,3.484968
30/04/2021,12784.97,61096.37,3.540714,3.133779,3.267318,3.484375
03/05/2021,12828.39,60769.69,3.511451,3.115989,3.24384,3.458515
04/05/2021,12715.17,60376.47,3.508985,3.120507,3.244932,3.45732
05/05/2021,12761.28,61536.47,3.533158,3.132032,3.263056,3.467395
06/05/2021,12848.51,61705.88,3.540494,3.135193,3.26856,3.465529
07/05/2021,12970.77,62573.36,3.558674,3.144117,3.282344,3.474662
10/05/2021,12895.12,62389.39,3.573059,3.155897,3.29549,3.488418
11/05/2021,12750.62,61320.37,3.540604,3.138725,3.270857,3.456756
12/05/2021,12527.45,61529.14,3.524059,3.123652,3.254811,3.440616
13/05/2021,12599.46,60211.08,3.495689,3.106666,3.232254,3.415066
14/05/2021,12801.36,60573.37,3.509004,3.115802,3.243309,3.426079
17/05/2021,12783.09,61193.22,3.53209,3.131979,3.262776,3.454565
18/05/2021,12760.83,61189.94,3.525064,3.125735,3.256373,3.440422
